OperatingPoint,measurementType,sysType,jetFlavor,etaMin,etaMax,ptMin,ptMax,discrMin,discrMax,formula
shape,iterativefit,central,5,0.0,2.5,140.0,10000.0,0.4508131799764808,0.5503264765827687,-47.41144273527066*(x-0.4508131799764808)*(x-0.4508131799764808)*(x-0.4508131799764808)+7.189670055851771*(x-0.4508131799764808)*(x-0.4508131799764808)+0.0*(x-0.4508131799764808)+0.9707854801006214
shape,iterativefit,central,5,0.0,2.5,140.0,10000.0,0.5503264765827687,0.6515956418825019,-0.09788720876097287*(x-0.5503264765827687)*(x-0.5503264765827687)*(x-0.5503264765827687)-0.0957454258634448*(x-0.5503264765827687)*(x-0.5503264765827687)+0.022403749033372822*(x-0.5503264765827687)+0.9952614891700986
shape,iterativefit,central,5,0.0,2.5,140.0,10000.0,0.6515956418825019,0.7420065648011234,230.8216437973263*(x-0.6515956418825019)*(x-0.6515956418825019)*(x-0.6515956418825019)-31.30319676796437*(x-0.6515956418825019)*(x-0.6515956418825019)+0.0*(x-0.6515956418825019)+0.9964467245335855
shape,iterativefit,central,5,0.0,2.5,140.0,10000.0,0.7420065648011234,0.8217816218923059,-113.96594585442833*(x-0.7420065648011234)*(x-0.7420065648011234)*(x-0.7420065648011234)+13.63745975548145*(x-0.7420065648011234)*(x-0.7420065648011234)+0.0*(x-0.7420065648011234)+0.9111545392733676
shape,iterativefit,central,5,0.0,2.5,140.0,10000.0,0.8217816218923059,0.9055113661006396,112.03274813296528*(x-0.8217816218923059)*(x-0.8217816218923059)*(x-0.8217816218923059)-15.274177425702558*(x-0.8217816218923059)*(x-0.8217816218923059)+0.0*(x-0.8217816218923059)+0.9400844087742212
shape,iterativefit,central,5,0.0,2.5,140.0,10000.0,0.9055113661006396,0.9848279200216096,8.48907390145199*(x-0.9055113661006396)*(x-0.9055113661006396)*(x-0.9055113661006396)+0.26044246579508384*(x-0.9055113661006396)*(x-0.9055113661006396)-0.20153203672230077*(x-0.9055113661006396)+0.8987655939964337
shape,iterativefit,central,5,0.0,2.5,140.0,10000.0,0.9848279200216096,1.1,0.8886552007888607
shape,iterativefit,central,0,0.0,0.8,20.0,30.0,-15.0,0.0,0.8824393610050144
shape,iterativefit,central,0,0.0,0.8,20.0,30.0,0.0,0.01,0.8824393610050144
shape,iterativefit,central,0,0.0,0.8,20.0,30.0,0.01,0.03,-12015.439555985971*(x-0.01)*(x-0.01)*(x-0.01)+9.737946360935089*(x-0.01)*(x-0.01)+14.029009612745755*(x-0.01)+0.8824393610050144
shape,iterativefit,central,0,0.0,0.8,20.0,30.0,0.03,0.0570602116613245,3914.264653055949*(x-0.03)*(x-0.03)*(x-0.03)-158.88124501520238*(x-0.03)*(x-0.03)+0.0*(x-0.03)+1.0707912153564159
shape,iterativefit,central,0,0.0,0.8,20.0,30.0,0.0570602116613245,0.1032767813337435,-1365.7056982967165*(x-0.05706021166132451)*(x-0.05706021166132451)*(x-0.05706021166132451)+117.94957614940704*(x-0.05706021166132451)*(x-0.05706021166132451)+0.0*(x-0.05706021166132451)+1.0320106837458123
shape,iterativefit,central,0,0.0,0.8,20.0,30.0,0.1032767813337435,0.2006739736414984,-152.22857475903965*(x-0.10327678133374353)*(x-0.10327678133374353)*(x-0.10327678133374353)+11.270978998766012*(x-0.10327678133374353)*(x-0.10327678133374353)+2.151125030122606*(x-0.10327678133374353)+1.1491288606725192
shape,iterativefit,central,0,0.0,0.8,20.0,30.0,0.2006739736414984,0.4551977902343577,0.0322767436902323*(x-0.2006739736414984)*(x-0.2006739736414984)*(x-0.2006739736414984)-0.04067056353466319*(x-0.2006739736414984)*(x-0.2006739736414984)+0.014430361940127213*(x-0.2006739736414984)+1.324912681170557
shape,iterativefit,central,0,0.0,0.8,20.0,30.0,0.4551977902343577,1.1,1.3264830164925403
shape,iterativefit,central,0,0.8,1.6,20.0,30.0,-15.0,0.0,0.9393602637669154
shape,iterativefit,central,0,0.8,1.6,20.0,30.0,0.0,0.01,0.9393602637669154
shape,iterativefit,central,0,0.8,1.6,20.0,30.0,0.01,0.0369539831996928,-1403.2734562009152*(x-0.01)*(x-0.01)*(x-0.01)-52.27958533057276*(x-0.01)*(x-0.01)+5.876793079559179*(x-0.01)+0.9393602637669154
shape,iterativefit,central,0,0.8,1.6,20.0,30.0,0.0369539831996928,0.076662677355228,3245.0756380828793*(x-0.03695398319969288)*(x-0.03695398319969288)*(x-0.03695398319969288)-193.28657403631692*(x-0.03695398319969288)*(x-0.03695398319969288)+0.0*(x-0.03695398319969288)+1.0323015788927412
shape,iterativefit,central,0,0.8,1.6,20.0,30.0,0.076662677355228,0.1310929248535079,-2038.6307143814574*(x-0.07666267735522808)*(x-0.07666267735522808)*(x-0.07666267735522808)+184.49749171353022*(x-0.07666267735522808)*(x-0.07666267735522808)+0.0*(x-0.07666267735522808)+0.9307114189300776
shape,iterativefit,central,0,0.8,1.6,20.0,30.0,0.1310929248535079,0.2413828521850323,11.97064682851487*(x-0.13109292485350799)*(x-0.13109292485350799)*(x-0.13109292485350799)-8.265535611999917*(x-0.13109292485350799)*(x-0.13109292485350799)+1.9652291457706492*(x-0.13109292485350799)+1.1485679997961367
shape,iterativefit,central,0,0.8,1.6,20.0,30.0,0.2413828521850323,0.4966364396524813,-1.7243008521176222*(x-0.24138285218503233)*(x-0.24138285218503233)*(x-0.24138285218503233)-0.4736647965546889*(x-0.24138285218503233)*(x-0.24138285218503233)+0.5788466079957861*(x-0.24138285218503233)+1.2808313414517447
shape,iterativefit,central,0,0.8,1.6,20.0,30.0,0.4966364396524813,1.1,1.369046009395139
shape,iterativefit,central,0,1.6,2.5,20.0,30.0,-15.0,0.0,0.9706365174607204
shape,iterativefit,central,0,1.6,2.5,20.0,30.0,0.0,0.0194049959335901,0.9706365174607204
shape,iterativefit,central,0,1.6,2.5,20.0,30.0,0.0194049959335901,0.0576607664198214,-105.24659615046818*(x-0.01940499593359019)*(x-0.01940499593359019)*(x-0.01940499593359019)+12.078868880368148*(x-0.01940499593359019)*(x-0.01940499593359019)-0.4620864356206451*(x-0.01940499593359019)+0.9706365174607204
shape,iterativefit,central,0,1.6,2.5,20.0,30.0,0.0576607664198214,0.0976770956580056,-1363.4765976917422*(x-0.057660766419821465)*(x-0.057660766419821465)*(x-0.057660766419821465)+104.91856913046428*(x-0.057660766419821465)*(x-0.057660766419821465)+0.0*(x-0.057660766419821465)+0.964744026585419
